"id","substance_code_id/id"
hc_base.subs_code_4413004,hc_base.subs_code_4413004_hc_vs_substance_code
hc_base.subs_code_4425001,hc_base.subs_code_4425001_hc_vs_substance_code
hc_base.subs_code_4435007,hc_base.subs_code_4435007_hc_vs_substance_code
hc_base.subs_code_4437004,hc_base.subs_code_4437004_hc_vs_substance_code
hc_base.subs_code_4471008,hc_base.subs_code_4471008_hc_vs_substance_code
hc_base.subs_code_4480008,hc_base.subs_code_4480008_hc_vs_substance_code
hc_base.subs_code_4509009,hc_base.subs_code_4509009_hc_vs_substance_code
hc_base.subs_code_4518006,hc_base.subs_code_4518006_hc_vs_substance_code
hc_base.subs_code_4534009,hc_base.subs_code_4534009_hc_vs_substance_code
hc_base.subs_code_4540002,hc_base.subs_code_4540002_hc_vs_substance_code
hc_base.subs_code_4546008,hc_base.subs_code_4546008_hc_vs_substance_code
hc_base.subs_code_4555006,hc_base.subs_code_4555006_hc_vs_substance_code
hc_base.subs_code_4564001,hc_base.subs_code_4564001_hc_vs_substance_code
hc_base.subs_code_4567008,hc_base.subs_code_4567008_hc_vs_substance_code
hc_base.subs_code_4582003,hc_base.subs_code_4582003_hc_vs_substance_code
hc_base.subs_code_4591004,hc_base.subs_code_4591004_hc_vs_substance_code
hc_base.subs_code_4616002,hc_base.subs_code_4616002_hc_vs_substance_code
hc_base.subs_code_4629002,hc_base.subs_code_4629002_hc_vs_substance_code
hc_base.subs_code_4635002,hc_base.subs_code_4635002_hc_vs_substance_code
hc_base.subs_code_4656000,hc_base.subs_code_4656000_hc_vs_substance_code
hc_base.subs_code_4681002,hc_base.subs_code_4681002_hc_vs_substance_code
hc_base.subs_code_4693006,hc_base.subs_code_4693006_hc_vs_substance_code
hc_base.subs_code_4706000,hc_base.subs_code_4706000_hc_vs_substance_code
hc_base.subs_code_4714006,hc_base.subs_code_4714006_hc_vs_substance_code
hc_base.subs_code_4728000,hc_base.subs_code_4728000_hc_vs_substance_code
hc_base.subs_code_4731004,hc_base.subs_code_4731004_hc_vs_substance_code
